depl,model,energy(joules),timestamp
DOCKER,emotion,2309.5491272747927,24
DOCKER,emotion,2481.5877530441035,25
DOCKER,emotion,2659.927232450243,26
DOCKER,emotion,2855.8429441740677,27
DOCKER,emotion,3062.866200465847,28
SCLB,emotion,3.1446926769685266,1
SCLB,emotion,12.645003011021476,2
SCLB,emotion,29.782580956709467,3
SCLB,emotion,52.53160845358482,4
SCLB,emotion,81.67278505283491,5
SCLB,emotion,120.26761663447336,6
SCLB,emotion,162.68623545619815,7
SCLB,emotion,209.2843199636405,8
SCLB,emotion,266.70065225542555,9
SCLB,emotion,327.4797071355528,10
SCLB,emotion,388.6111471423702,11
SCLB,emotion,458.94229064878994,12
SCLB,emotion,533.2623142540621,13
SCLB,emotion,612.0889398931939,14
SCLB,emotion,703.122679098966,15
SCLB,emotion,799.0606581070334,16
SCLB,emotion,895.4841577093514,17
SCLB,emotion,994.625133337121,18
SCLB,emotion,1108.7204604022272,19
SCLB,emotion,1241.5897790023862,20
SCLB,emotion,1372.8930024713104,21
SCLB,emotion,1510.1865291444158,22
SCLB,emotion,1661.341574252926,23
SCLB,emotion,1817.7437302579256,24
SCLB,emotion,1965.846112657653,25
SCLB,emotion,2116.019138847859,26
SCLB,emotion,2278.3806164640387,27
SCLB,emotion,2447.635132598569,28
SCLB,emotion,2623.139270310193,29
SCLB,emotion,2809.9292461083974,30
SCLB,emotion,3004.2004227928655,31
SCLB,emotion,3195.1380288603577,32
SCLB,emotion,3409.262612856494,33
SCLB,emotion,3644.1645021020345,34
SCLB,emotion,3861.4954370242017,35
SCLB,emotion,4069.5278688785365,36
SCLB,emotion,4306.016223042836,37
SCLB,emotion,4548.78103323486,38
SCLB,emotion,4779.987879615953,39
SCLB,emotion,5015.200255652766,40
SCLB,emotion,5260.850989035337,41
SCLB,emotion,5518.41365702761,42
SCLB,emotion,5779.296173474604,43
SCLB,emotion,6071.251520054539,44
SCLB,emotion,6386.856921798659,45
SCLB,emotion,6674.315424326781,46
SCLB,emotion,6948.612543631404,47
